店家代號,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月
1,0,0,4,0,5,0,5,0,2,0,0,10,0,0,0,0,0,0,0,0,0
2,5,0,5,0,0,0,0,5,0,0,0,5,5,0,6,5,0,2,5,0,0
3,5,10,50,10,30,10,30,15,10,15,20,20,35,20,27,21,0,20,15,15,20
4,20,0,20,0,30,0,0,40,0,0,20,10,20,10,20,20,0,20,20,0,10
5,0,20,0,25,20,10,0,20,0,0,0,10,10,10,10,0,20,0,0,20,5
6,20,0,70,40,0,20,0,20,20,10,30,50,50,30,30,80,0,20,30,0,20
7,30,20,80,60,0,0,40,45,20,20,40,10,70,30,40,80,40,0,40,20,20
8,20,0,270,110,40,0,40,10,230,80,20,200,40,40,30,20,70,292,20,40,0
9,0,0,0,10,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,7
10,37,0,6,15,0,12,0,17,8,0,8,0,30,20,25,0,20,0,28,0,0
11,3,6,2,8,2,5,0,4,0,5,0,2,6,2,0,8,0,0,2,4,0
12,10,15,0,15,0,0,0,20,0,0,10,0,15,0,30,0,0,3,0,0,0
13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,5,0,0,0,10,2,0,10,0,0,0,15,0,0,8,0,0,10,0
15,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
16,10,10,0,30,20,10,0,20,10,30,0,0,10,20,30,0,0,0,0,10,20
17,10,0,10,0,10,10,0,10,0,0,0,10,20,0,10,0,10,0,0,10,0
18,0,0,0,0,0,0,0,0,0,30,20,0,0,0,0,0,0,0,0,0,0
19,10,12,15,30,24,0,27,6,14,12,15,10,15,15,25,6,10,16,14,8,8
20,0,10,8,30,0,0,0,0,0,10,15,0,5,30,0,10,0,0,0,0,0
21,14,0,0,0,25,0,0,0,0,0,10,0,0,15,0,0,15,0,0,0,0
22,10,0,0,19,0,0,0,0,0,0,14,0,8,0,5,0,0,5,0,0,0
23,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0
24,0,12,0,5,0,0,2,0,10,0,3,0,10,0,6,0,0,10,0,3,10
25,0,20,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,5
26,10,30,30,30,40,0,0,10,30,0,20,0,20,20,55,0,0,20,0,20,0
27,0,0,0,0,15,0,0,6,18,0,0,0,0,10,0,0,0,0,0,10,10
28,30,40,45,305,0,0,0,0,0,0,0,0,60,60,80,300,0,0,25,45,30
29,10,0,10,20,0,7,0,20,0,0,20,0,10,30,0,0,0,0,0,0,0
30,0,0,0,30,0,0,0,0,0,0,0,7,10,10,50,0,0,0,0,0,0
31,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,20,0,0,6,0,4,3,5,0,0,8,4,0,6,1,6,0,0,12,0,5
33,0,10,10,0,15,15,10,0,15,10,0,0,20,10,20,0,0,20,0,20,0
34,0,2,0,9,0,0,0,0,0,3,0,0,0,4,0,0,1,0,0,4,0
35,0,1,0,0,1,1,0,0,2,0,2,0,0,2,2,1,1,2,1,2,0
36,0,0,30,0,0,30,0,30,0,0,0,40,0,20,0,30,0,0,0,0,20
37,10,0,0,30,0,20,0,0,10,0,10,0,15,15,30,0,0,10,10,10,0
38,0,0,8,0,4,0,6,0,6,0,0,0,0,3,3,6,0,0,4,0,4
39,0,0,12,15,0,0,0,5,10,0,7,10,0,20,10,0,0,10,5,10,0
40,10,0,12,10,0,0,10,5,0,0,0,0,15,14,28,0,0,0,0,0,0
41,9,0,10,35,5,0,8,10,0,0,12,3,10,12,30,0,7,0,10,7,14
42,10,5,0,0,0,10,0,10,0,0,0,0,10,0,0,10,0,0,10,0,0
43,0,0,20,10,0,0,20,0,0,20,0,0,20,0,0,0,20,0,0,0,20
44,0,40,0,5,0,10,10,20,10,20,0,15,20,30,0,40,0,0,35,20,0
45,0,0,0,40,0,0,20,20,0,20,0,20,30,20,0,0,20,0,20,20,40
46,10,0,20,0,0,30,0,0,0,20,0,0,30,0,5,0,10,0,0,0,20
47,10,20,20,130,0,0,0,0,0,15,15,0,20,25,15,0,20,10,0,10,0
48,20,20,10,30,30,20,10,23,10,30,20,10,25,40,30,0,20,50,20,10,30
49,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,5,0,0,0,0,0
50,0,8,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
51,7,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,4,0,0,0
52,0,40,0,340,0,0,0,0,0,30,10,20,60,10,210,0,0,0,0,0,0
53,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
54,0,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,5,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,0,14,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0
57,0,20,80,150,0,0,0,0,0,30,10,26,60,20,60,60,0,0,20,40,0
58,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
60,0,60,20,130,0,0,0,0,0,20,10,25,70,40,40,300,0,0,0,0,0
61,0,20,0,0,0,12,0,0,0,8,0,0,15,0,0,0,0,8,0,0,0
62,4,0,0,0,0,5,10,0,0,0,0,0,0,16,0,0,10,0,0,0,0
63,0,0,0,20,0,0,0,20,20,0,20,0,40,110,0,0,0,0,0,0,0
64,31,12,29,16,20,21,20,26,5,9,20,21,25,24,45,13,26,18,9,24,20
