店家代號,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月
1,0,0,0,0,3,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2,7,0,8,0,0,0,0,7,0,0,0,5,6,0,9,3,0,6,6,0,0
3,10,4,20,10,15,10,15,5,10,5,10,15,20,15,25,8,5,5,18,10,10
4,10,0,10,0,20,20,0,30,0,0,10,10,10,10,20,0,40,0,0,0,10
5,0,10,0,0,0,10,0,20,0,0,0,0,10,5,5,0,10,0,0,10,0
6,20,0,0,50,0,0,0,0,20,10,0,40,10,20,20,20,40,0,0,20,0
7,30,10,20,60,0,0,0,30,15,40,40,0,30,40,40,40,40,0,0,10,0
8,0,0,140,0,0,0,20,50,130,10,20,100,50,20,0,70,70,181,0,40,0
9,0,0,0,10,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0
10,10,0,20,25,0,0,0,0,8,0,12,0,40,0,25,0,0,0,16,0,0
11,0,0,2,2,0,0,2,3,0,2,0,3,2,2,0,2,0,0,2,0,0
12,0,10,0,5,0,0,0,0,0,0,0,0,2,0,13,0,0,2,0,0,0
13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,5,0,0,0,0,6,0,0,0,0,0,5,0,0,6,0,0,5,0
15,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
16,10,10,0,10,10,5,0,5,10,15,0,10,10,10,15,0,0,10,0,0,10
17,0,0,0,0,10,0,0,10,0,0,0,0,10,0,10,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
19,10,12,15,40,0,0,10,17,2,3,2,6,10,10,10,10,0,18,22,12,12
20,0,20,220,300,0,0,0,0,0,2,5,0,40,380,0,0,0,5,0,0,0
21,5,0,0,0,15,0,0,0,0,0,10,0,0,5,0,0,2,0,0,0,0
22,0,40,0,100,0,0,0,0,0,0,10,0,10,0,60,0,0,0,0,0,29
23,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,11,0,15,0,0,0,0,0,0,3,0,10,0,6,0,0,5,0,2,3
25,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,10,4,0,7,5
26,5,20,10,15,0,10,0,20,0,0,0,0,10,10,40,0,0,0,10,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0
28,30,40,30,270,0,0,0,0,0,0,0,0,10,100,10,80,100,0,5,20,20
29,30,0,10,10,0,6,0,20,0,0,10,0,60,40,0,0,10,0,0,0,0
30,0,0,20,40,0,0,0,0,0,0,0,7,10,10,60,0,0,0,0,0,0
32,5,0,0,0,0,4,0,0,0,0,4,4,0,0,6,1,5,0,3,0,2
33,0,20,20,0,20,0,10,0,10,0,0,0,20,20,25,0,0,20,0,20,0
34,0,5,0,12,0,0,0,0,0,2,4,0,0,3,5,0,4,0,0,4,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,20,0,0,20,0,30,0,20,0,0,0,0,0,20,40,0,0,0,0,0,0
37,10,0,0,40,0,0,0,0,0,10,10,0,15,15,10,0,0,5,0,0,0
38,0,0,2,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
39,0,0,3,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0
40,2,0,5,10,0,0,5,10,0,0,0,0,7,2,10,0,0,0,0,0,0
41,14,0,10,25,0,25,0,0,0,0,12,7,10,12,27,0,7,0,9,10,14
42,5,5,0,0,0,10,0,0,0,0,10,0,10,0,0,10,0,0,0,0,0
43,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0,0,20,0,0
44,0,0,20,310,0,0,10,0,0,10,0,0,20,40,0,20,20,0,100,10,0
45,0,20,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,20,0,0,20
46,10,0,0,10,0,10,0,0,0,20,0,0,0,0,10,0,0,20,0,0,0
47,10,10,0,40,0,0,0,0,0,0,10,0,20,20,5,0,5,40,0,10,0
48,20,0,20,30,0,40,20,0,10,60,30,20,70,40,80,0,70,0,50,0,10
49,5,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10
50,0,5,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2
51,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,0,0
52,0,0,0,150,0,0,0,0,0,10,10,0,40,10,200,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,6,0,0,0
57,0,20,280,300,0,0,0,0,15,0,5,5,40,20,20,20,40,0,0,20,0
58,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
60,0,40,10,400,0,0,0,0,0,0,20,20,70,40,30,120,150,0,0,0,0
61,0,20,0,0,0,8,0,0,0,12,0,0,25,0,0,0,0,6,0,0,0
62,6,0,0,0,0,5,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0
64,9,10,23,21,0,11,8,12,16,5,9,8,13,16,21,5,7,13,8,11,10
