店家代號,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月
1,0,0,4,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,3,1,0,0
3,10,15,31,10,30,10,20,10,20,15,20,20,47,15,50,20,0,20,15,15,10
4,20,0,20,0,30,0,0,40,0,0,20,20,20,20,20,20,0,10,30,0,0
5,0,5,0,10,10,20,0,10,0,0,0,10,10,20,20,0,20,0,0,5,5
6,20,0,20,50,0,30,0,20,30,30,0,30,40,20,30,70,0,0,30,0,20
7,0,20,15,60,0,0,20,35,0,20,40,0,40,30,40,40,40,0,40,0,0
8,10,0,50,40,20,0,20,10,40,40,20,30,20,30,20,20,20,70,40,0,0
9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,7
10,0,0,5,0,20,0,0,3,3,0,0,0,15,10,30,0,0,0,14,0,0
11,0,0,2,4,0,0,0,1,0,4,0,0,6,6,3,2,0,4,2,4,0
12,10,15,0,10,0,0,0,0,0,0,10,0,15,0,30,0,0,5,0,0,0
14,0,0,15,0,0,0,0,12,0,0,20,0,0,15,0,0,0,0,0,10,0
15,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
16,0,10,0,20,0,10,0,10,0,20,0,0,10,10,20,0,0,10,0,10,10
17,10,0,0,0,10,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
19,4,14,15,15,10,0,12,12,2,4,3,4,8,8,3,2,6,12,2,0,2
20,0,10,10,15,0,0,0,0,0,5,0,0,4,4,0,6,0,8,0,0,0
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
22,10,0,0,34,0,0,0,0,0,0,10,0,10,0,10,0,0,10,0,0,3
23,5,0,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0
24,0,13,0,10,0,0,8,0,5,0,13,0,8,0,13,0,0,4,0,5,5
25,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,8,5
26,15,30,0,20,0,20,0,0,0,0,0,0,10,5,20,0,20,0,5,0,0
27,0,0,0,0,15,0,0,8,2,0,0,0,0,10,0,0,0,0,0,1,9
28,25,30,25,200,0,0,0,0,0,0,0,0,40,20,60,150,0,0,25,45,25
29,10,0,10,20,0,7,0,10,0,0,10,0,10,10,0,0,30,0,0,0,0
30,20,0,0,30,0,0,0,0,0,0,0,0,10,10,20,0,0,0,0,0,0
31,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,5,0,0,6,0,4,0,5,0,0,6,0,0,4,4,3,2,0,6,0,1
33,0,10,0,0,0,15,10,0,15,10,0,0,10,10,10,0,0,0,0,20,10
34,0,7,0,6,0,0,0,0,10,3,2,0,0,0,0,0,8,0,0,0,0
35,0,3,0,0,1,1,0,0,2,0,1,3,2,2,1,0,4,1,0,1,0
36,0,0,10,0,0,0,0,20,0,0,0,10,0,0,0,10,0,0,10,0,10
37,0,0,0,30,0,0,0,0,0,10,0,0,10,10,0,0,0,5,0,10,0
38,0,0,9,5,8,0,6,0,5,0,0,0,0,6,7,3,0,0,6,0,6
39,5,0,20,10,0,0,0,5,10,0,10,15,0,10,15,0,0,6,10,10,0
40,5,0,20,10,0,0,4,5,0,0,0,0,15,14,0,0,0,0,0,0,0
41,13,0,15,25,5,0,7,10,0,0,10,5,10,8,15,0,3,0,12,3,16
42,5,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0
43,0,0,20,20,0,20,0,0,20,20,0,0,20,20,0,0,20,0,0,0,20
44,30,0,30,20,0,10,10,10,0,10,0,20,20,5,40,40,0,0,5,0,0
45,0,20,0,20,0,0,0,20,0,20,0,0,30,20,0,0,0,0,20,0,40
46,10,0,20,0,0,30,0,0,0,20,0,0,10,0,5,0,20,0,0,0,20
47,10,10,20,120,0,0,0,0,0,0,25,0,20,25,10,0,10,10,0,20,0
48,30,20,10,20,30,10,10,20,0,10,20,0,50,10,30,30,20,0,10,10,10
49,5,0,0,0,0,0,3,0,7,0,0,0,0,0,0,5,0,0,0,0,0
50,0,4,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
51,3,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,4,0,0,0,0
52,0,0,0,200,0,0,0,0,0,0,0,10,60,20,220,0,0,0,0,0,0
53,0,0,0,0,2,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0
54,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,0
56,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,0,0
57,0,20,30,50,0,0,10,20,10,0,0,2,40,20,20,50,0,0,0,20,10
58,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,40,40,70,0,0,0,0,0,20,10,40,60,30,30,130,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
62,10,0,0,0,0,0,7,0,0,0,0,2,0,4,0,5,0,0,0,0,0
63,0,0,0,10,0,0,0,10,0,0,0,0,0,60,0,0,0,0,0,0,0
64,21,11,24,22,14,17,21,14,16,14,14,24,29,22,34,7,19,16,19,23,5
65,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
66,130,80,330,940,0,0,0,0,0,0,0,150,330,250,200,150,700,-200,0,80,100
67,0,0,0,0,0,0,2,0,0,0,0,3,0,5,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0
69,20,10,10,0,0,0,20,20,40,0,0,0,60,0,0,10,0,20,0,0,0
70,0,20,0,130,0,0,0,0,0,0,0,0,25,10,50,10,0,0,0,0,0
71,0,9,0,9,0,0,10,0,0,0,4,5,8,0,4,0,0,0,0,8,0
72,0,8,5,13,0,5,0,10,0,0,0,8,15,0,15,0,0,0,5,0,5
73,0,0,0,0,0,0,8,4,0,0,0,10,15,0,0,0,0,5,0,5,0
