店家代號,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月
2,3,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,5,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
7,0,0,0,0,0,3,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0
10,3,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0
16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,0,2,0,6,0,0,2,2,3,0,0,2,0,2,0,4,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,4,2,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0
27,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0
28,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,10,0,0,10,10,0,0,0,0,0,15,0,35,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,10,0,3,0,0,3,0,0,0,0,15,8,0,10,0,0,12,0,0
57,0,0,2,0,0,0,0,3,2,0,0,0,0,0,5,0,0,0,0,3,0
58,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,22,0,0,0,0,0,0,0,2,0,20,0,0,50,0,0,0,0
63,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,1,0
64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,0,0,7,2,2,0,0,3,0,0,0,102,3,2,2,0,6,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,50,30,20,30,0,0,0,40,0,0,0,0,0,9,16,2
71,0,3,0,9,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,2
77,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,20,0,0
81,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0,4,0
86,0,0,0,0,0,0,0,0,0,0,0,0,30,40,0,0,0,0,0,5,0
89,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,2,0,3
95,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
100,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,2,0,0,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0
109,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
111,0,0,6,0,0,0,0,0,5,5,10,0,0,0,0,10,10,0,0,0,0
115,0,10,0,18,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,0
118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0
119,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
120,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
129,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0
130,0,0,9,0,0,1,1,2,0,0,0,0,4,0,0,1,2,0,3,0,0
131,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
139,0,7,0,0,0,2,0,1,0,0,2,0,0,0,11,0,0,0,1,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
