店家代號,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
3,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,6,2,0
6,0,0,10,10,0,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7,0,10,0,0,0,28,0,40,0,0,0,0,0,0,0,0,0,0,0,10,0
11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
18,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
20,0,10,0,8,15,0,25,10,20,0,0,0,0,0,0,0,0,0,0,12,0
22,0,0,0,0,16,0,18,34,0,0,0,0,0,0,0,0,0,0,0,9,20
24,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
26,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
27,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0
29,10,0,0,0,0,30,50,15,0,0,0,0,0,0,0,0,0,0,0,10,0
31,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0
32,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,10,20,0,0,25,0,0,20,0,0,0,0,0,0,0,0,0,13,0,10
34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
37,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0
44,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,13,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
48,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0
49,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
52,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,0
57,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0
60,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
65,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,10,0,0,20,30,20,0,0,0,0,0,0,0,0,0,0,0,30,0,0
69,0,0,0,0,0,25,0,0,10,0,0,0,0,0,0,0,0,0,40,0,0
70,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
72,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0
73,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
76,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
79,0,0,0,2,8,5,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
81,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
82,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
84,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
87,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
91,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10
100,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
104,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8
106,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
108,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,3,0
115,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
117,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
120,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
121,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
124,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
130,0,0,10,10,25,0,40,30,0,0,0,0,0,0,0,0,0,0,0,15,0
132,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,3,0,6,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
139,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
142,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
147,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
148,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
149,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0
150,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
152,0,0,0,4,3,15,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
154,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1
